train_loss,val_loss
2.6250239610671997,2.513531446456909
2.6292084455490112,2.497162103652954
2.7544630765914917,2.480517625808716
2.685526490211487,2.4295685291290283
2.6632925271987915,2.4092857837677
2.469740629196167,2.3947935104370117
2.4435707926750183,2.3814988136291504
2.5532187819480896,2.3504111766815186
2.489016532897949,2.335874557495117
2.483388125896454,2.318084478378296
2.404429793357849,2.3102760314941406
2.434853732585907,2.291937828063965
2.4127346873283386,2.2616236209869385
2.2561466097831726,2.2509472370147705
2.410708487033844,2.2298238277435303
2.2081001698970795,2.205601930618286
2.3326010704040527,2.190345525741577
2.262182056903839,2.1712658405303955
2.3247519731521606,2.151379108428955
2.1809452176094055,2.133929491043091
2.225562334060669,2.1104915142059326
2.199368894100189,2.09570050239563
2.258299767971039,2.084534168243408
2.086288273334503,2.068185329437256
2.088581383228302,2.0449225902557373
2.1736695766448975,2.033801317214966
2.0769205689430237,2.028379201889038
2.0601106584072113,2.0167124271392822
2.060106635093689,1.98710298538208
2.041110038757324,1.9765836000442505
1.924358069896698,1.9498116970062256
2.007360577583313,1.9336035251617432
2.054664522409439,1.9098097085952759
2.039587140083313,1.903700351715088
2.1337737441062927,1.8902487754821777
1.886892706155777,1.8727740049362183
1.9960254430770874,1.8670873641967773
1.9107218980789185,1.845204472541809
1.8175111413002014,1.835660457611084
1.9331322014331818,1.8272709846496582
1.8156522512435913,1.8139020204544067
1.9724034368991852,1.8137396574020386
1.8443078696727753,1.8108149766921997
1.714743822813034,1.7999606132507324
1.9046329855918884,1.7808139324188232
1.7645358443260193,1.7626049518585205
1.9288617372512817,1.7632893323898315
1.8321240544319153,1.7496747970581055
1.807957500219345,1.7301706075668335
1.7427482604980469,1.7247122526168823
